Time FPz	EOG1	F3	Fz	F4	EOG2	FC5	FC1	FC2	FC6	T7	C3	C4	Cz	T8	CP5	CP1	CP2	CP6	P7	P3	Pz	P4	P8	PO7	PO3	POz	PO4	PO8	O1	Oz	O2	
-1000.0000	7.2929	2.4365	5.9170	5.5619	4.3632	3.3428	4.2989	4.6260	2.9687	3.0739	4.0752	4.3064	2.2493	2.4516	2.3036	2.5472	2.2596	2.2665	0.6300	0.5154	0.5219	1.7734	0.8347	-1.1588	-0.3799	-1.4756	0.8281	0.4663	-1.1765	-0.4254	-0.1489	-0.2185
-992.1875	9.2791	-0.7210	5.1278	5.6466	6.3031	1.0760	3.6277	3.6276	4.6225	4.2917	3.6605	3.6590	1.7506	1.4244	2.6698	1.7170	1.2908	0.9190	0.6147	0.1054	-0.7475	0.7845	0.0583	-0.7558	-1.5446	-2.9479	-0.3677	-0.1367	-1.2144	-1.8987	-1.5752	-0.5616
-984.3750	13.8931	0.4684	6.0010	6.0386	5.8979	3.9161	4.5220	3.5565	3.0664	4.7552	4.4640	3.0825	2.8336	1.7704	4.2812	2.2954	1.4586	1.0353	2.2270	1.7443	-0.2514	0.5451	0.3548	0.4661	-0.9638	-2.6303	-0.7842	0.0676	-0.4208	-1.8696	-1.3464	-0.7368
-976.5625	12.7432	-3.1290	4.9544	4.0969	4.2409	2.0066	2.9501	2.4533	3.0978	3.9079	2.0363	1.0528	2.0928	0.1214	2.7440	-0.4440	-0.6801	-0.6165	1.0566	-1.0307	-3.1423	-1.9073	-1.4669	-1.1731	-3.2718	-4.8938	-3.3775	-2.5410	-2.5808	-3.9952	-3.5907	-3.1930
-968.7500	13.3963	-1.6691	6.6748	5.9860	4.1383	2.6182	3.8052	4.4435	3.6423	4.6574	1.7674	1.5192	3.7754	1.7944	3.0425	-1.0002	-0.2258	0.4126	2.1339	-2.0365	-3.3962	-1.8508	-1.2136	-0.4195	-3.4268	-5.3016	-3.6375	-2.7657	-1.6524	-3.2173	-2.7426	-2.4977
-960.9375	12.1545	-2.0785	5.5336	5.5686	4.8788	2.9881	2.8046	4.0630	4.4676	3.8386	0.4222	1.1617	2.4613	1.5436	1.5031	-2.3167	-1.6433	-0.9358	0.7041	-3.4746	-4.3149	-4.0285	-2.7494	-1.6544	-4.1358	-5.2882	-5.3760	-4.4086	-2.5098	-4.3917	-4.2354	-3.8499
-953.1250	10.9085	-1.3759	5.1582	5.5176	4.7970	1.2445	2.6682	4.1297	3.6484	4.0822	1.3292	1.5552	3.4280	2.3301	2.6016	-0.4201	-0.3537	-0.0864	1.3140	-0.4787	-2.0818	-3.5087	-2.5178	-0.6113	-1.5832	-2.8521	-5.0524	-3.5399	-1.4138	-1.9854	-2.7322	-2.6828
-945.3125	7.1487	-3.3292	2.7527	3.7244	4.3698	0.4722	1.0150	1.3822	2.9216	3.0884	-0.2877	-0.0160	1.8343	0.2614	1.0650	-0.6782	-1.3703	-1.8055	-0.6400	-0.4418	-1.6041	-4.0317	-3.5709	-1.8606	-0.4515	-1.1673	-4.7469	-4.3061	-2.3276	-1.6036	-2.8600	-2.9827
-937.5000	7.1543	-0.9134	3.7168	3.8895	3.2559	-0.5158	1.9737	1.9661	1.4148	2.9506	1.3236	0.2124	1.7675	0.3639	1.5889	0.8244	-0.5996	-1.0841	0.1325	0.9872	0.4106	-2.5877	-1.8698	-0.5671	2.2132	1.6417	-2.2228	-1.7385	-0.1077	1.1036	-0.3633	-0.4088
-929.6875	5.2605	-1.5059	2.0242	1.3029	0.5312	1.3175	0.8767	0.5291	-0.0291	0.5754	0.5531	0.4931	-0.3358	-1.0072	-0.9806	0.4465	-0.8332	-1.9982	-1.8154	1.1393	0.8010	-2.5266	-2.4881	-1.5347	3.3175	2.9535	-1.6364	-1.4336	-0.3839	1.8424	-0.0654	-0.2810
-921.8750	4.9920	-0.8748	3.4177	2.5258	1.2556	-0.7738	2.9675	2.9006	1.3687	1.3644	2.3531	3.2047	1.2026	1.8379	-0.6843	3.2917	3.0274	1.0936	-0.6476	3.4769	3.6978	1.1318	-0.3302	-0.6674	5.1885	5.4459	1.6159	0.8400	1.0256	3.9990	2.4427	1.5048
-914.0625	3.7351	-1.4130	3.6356	2.9176	1.5312	0.9076	2.9463	3.5955	2.4965	0.6073	2.6472	4.0623	0.8743	2.4066	-1.1399	4.2622	4.0691	1.8602	-0.8305	4.5684	4.7747	3.1157	1.0472	-0.0440	5.7153	5.7294	3.6602	2.1518	1.8377	4.3541	3.1980	2.5784
-906.2500	3.3302	-0.8978	3.6476	2.4425	1.4410	-1.5337	2.9390	2.8491	1.8182	0.8610	2.9684	3.7874	0.4438	2.5169	-0.6892	4.6305	4.5348	2.5082	0.0658	5.4079	4.9915	5.1391	2.6967	1.3673	6.1033	5.4230	5.2725	4.5037	3.8903	5.2623	4.8543	4.5777
-898.4375	2.4161	-1.5143	1.5480	0.7996	0.0384	2.2466	1.5775	1.1305	-0.2308	0.1807	1.9161	2.5579	0.0924	2.0257	-0.5979	2.9158	3.4053	2.1871	0.2770	2.7728	2.7386	4.7108	2.6418	1.6272	2.8230	1.9960	4.5032	4.6079	4.1935	3.1634	3.7608	4.4236
-890.6250	2.6736	-0.7605	1.3750	2.3208	1.7366	0.6898	1.5650	2.3104	2.2512	1.6872	2.8260	2.7748	1.5917	3.1780	0.1836	3.1597	3.3854	2.4124	1.2870	2.8759	2.0660	4.1561	2.6540	1.3251	1.9405	0.8281	3.6735	4.3538	3.7446	1.8016	2.5363	3.4805
-882.8125	3.8048	1.6360	0.8805	2.7288	2.5921	3.9087	0.7708	2.3044	2.7609	2.5731	2.0307	1.8573	2.7247	3.2467	1.1152	2.0064	2.0930	1.8346	1.4685	2.4098	0.9806	2.4199	1.5534	0.6969	1.5214	-0.1963	1.8493	2.7089	2.7123	1.1678	1.2990	1.7539
-875.0000	4.0548	1.2351	-0.2016	1.1945	1.9646	2.0198	-0.1164	0.6151	2.2159	2.3748	1.2756	0.3082	1.9764	1.6708	0.2973	0.4144	0.4096	0.4848	0.3331	0.5061	-1.1611	0.3599	-0.3669	-0.3271	-0.0654	-1.7910	-0.0937	0.8426	1.3896	-0.2054	0.0001	0.3984
